"key_ID","year","count_cases"
1,2002,999
2,2003,1479
3,2004,1933
4,2005,1597
5,2006,1548
6,2007,1805
7,2008,1317
8,2009,984
9,2010,1088
10,2011,1439
11,2012,710
12,2013,793
13,2014,839
14,2015,701
15,2016,1004
16,2017,727
17,2018,775
18,2019,610
19,2020,140
